mileage;make;model;fuel;gear;offerType;price;hp;year;name
235000;BMW;316;Diesel;Manual;Used;6800;116;2011;BMW 316
92800;Volkswagen;Golf;Gasoline;Manual;Used;6877;122;2011;Volkswagen Golf
149300;SEAT;Exeo;Gasoline;Manual;Used;6900;160;2011;SEAT Exeo
96200;Renault;Megane;Gasoline;Manual;Used;6950;110;2011;Renault Megane
156000;Peugeot;308;Gasoline;Manual;Used;6950;156;2011;Peugeot 308
147000;Toyota;Auris;Electric/Gasoline;Automatic;Used;6950;99;2011;Toyota Auris
91894;Renault;Scenic;Diesel;Manual;Used;6970;131;2011;Renault Scenic
127500;Opel;Zafira;Gasoline;Manual;Used;6972;116;2011;Opel Zafira
115000;Mazda;3;Gasoline;Automatic;Used;6980;150;2011;Mazda 3
104;Ford;Transit;Diesel;Manual;Used;6990;86;2011;Ford Transit
59580;Opel;Meriva;Diesel;Automatic;Used;6990;101;2011;Opel Meriva
84000;Volkswagen;Golf;Gasoline;Manual;Used;6990;105;2011;Volkswagen Golf
427000;Mercedes-Benz;E 250;Diesel;Automatic;Used;6990;204;2011;Mercedes-Benz E 250
109000;Chevrolet;Orlando;Gasoline;Manual;Used;6990;141;2011;Chevrolet Orlando
194020;Audi;A4;Diesel;Manual;Used;6999;120;2011;Audi A4
72000;Volkswagen;Polo;Gasoline;Manual;Used;6999;60;2011;Volkswagen Polo
190000;Renault;Espace;Diesel;Manual;Used;6999;150;2011;Renault Espace
190000;Renault;Grand Espace;Diesel;Manual;Used;6999;150;2011;Renault Grand Espace
85700;Fiat;Sedici;Diesel;Manual;Used;6999;135;2011;Fiat Sedici
82000;Opel;Corsa;Gasoline;Manual;Used;7000;101;2011;Opel Corsa
44800;Kia;Picanto;Gasoline;Automatic;Used;7850;86;2012;Kia Picanto
81970;Volkswagen;Golf;Gasoline;Manual;Used;7850;105;2012;Volkswagen Golf
24000;Dacia;Duster;Gasoline;Manual;Used;7900;105;2012;Dacia Duster
193333;Volkswagen;Cross Touran;Diesel;Manual;Used;7900;105;2012;Volkswagen Cross Touran
113000;Volkswagen;Beetle;Gasoline;Manual;Used;7900;105;2012;Volkswagen Beetle
117000;Volkswagen;Golf Cabriolet;Gasoline;Manual;Used;7949;105;2012;Volkswagen Golf Cabriolet
299900;BMW;118;Diesel;Manual;Used;7950;143;2012;BMW 118
104250;Opel;Astra;Gasoline;Manual;Used;7950;140;2012;Opel Astra
151250;Peugeot;308;Diesel;Manual;Used;7950;163;2012;Peugeot 308
133500;BMW;118;Diesel;Manual;Used;7980;143;2012;BMW 118
105000;Opel;Astra;Gasoline;Manual;Used;7980;179;2012;Opel Astra
114164;Ford;Focus;Gasoline;Manual;Used;7990;125;2012;Ford Focus
128000;MINI;One D Countryman;Diesel;Manual;Used;7990;90;2012;MINI One D Countryman
150000;BMW;118;Diesel;Manual;Used;7999;143;2012;BMW 118
160000;MINI;Cooper Clubman;Gasoline;Manual;Used;7999;122;2012;MINI Cooper Clubman
165000;Mercedes-Benz;B 180;Diesel;Manual;Used;8000;109;2012;Mercedes-Benz B 180
51200;Renault;Scenic;Gasoline;Manual;Used;8000;131;2012;Renault Scenic
107000;Opel;Insignia;Diesel;Manual;Used;8000;160;2012;Opel Insignia
130000;MINI;One;Gasoline;Manual;Used;8000;98;2012;MINI One
214000;BMW;320;Diesel;Automatic;Used;8199;184;2012;BMW 320
73760;Opel;Zafira;Gasoline;Manual;Used;8990;140;2013;Opel Zafira
113000;Volkswagen;Beetle;Gasoline;Manual;Used;8990;160;2013;Volkswagen Beetle
108803;Hyundai;iX35;Diesel;Manual;Used;8990;116;2013;Hyundai iX35
7400;Opel;Adam;Gasoline;Manual;Used;8990;101;2013;Opel Adam
239211;BMW;520;Diesel;Automatic;Used;8990;184;2013;BMW 520
86980;Ford;B-Max;Gasoline;Manual;Used;8995;120;2013;Ford B-Max
98000;Volkswagen;Golf Variant;Diesel;Automatic;Used;8999;105;2013;Volkswagen Golf Variant
98988;Ford;Transit;Diesel;Manual;Used;8999;101;2013;Ford Transit
41124;Opel;Adam;Gasoline;Manual;Used;8999;101;2013;Opel Adam
170000;Volkswagen;Touran;Diesel;Manual;Used;8999;140;2013;Volkswagen Touran
240000;Kia;Optima;Gasoline;Automatic;Used;9000;150;2013;Kia Optima
80500;BMW;114;Gasoline;Manual;Used;9000;102;2013;BMW 114
195327;Ford;Galaxy;Diesel;Manual;Used;9000;140;2013;Ford Galaxy
143316;Volkswagen;Touran;Gasoline;Automatic;Used;9000;140;2013;Volkswagen Touran
98100;SEAT;Leon;Gasoline;Manual;Used;9100;122;2013;SEAT Leon
113000;Audi;A1;Gasoline;Manual;Used;9100;86;2013;Audi A1
94000;Volkswagen;Golf Variant;Diesel;Manual;Used;9200;105;2013;Volkswagen Golf Variant
68700;Chevrolet;Trax;Gasoline;Manual;Used;9290;140;2013;Chevrolet Trax
169500;Toyota;Verso;Diesel;Manual;Used;9300;126;2013;Toyota Verso
77000;Volkswagen;Golf Plus;Gasoline;Automatic;Used;9300;122;2013;Volkswagen Golf Plus
45600;Ford;Fiesta;Gasoline;Manual;Used;8990;80;2014;Ford Fiesta
230000;Opel;Vivaro;Diesel;Manual;Used;8990;140;2014;Opel Vivaro
99756;Volkswagen;Polo;Gasoline;Manual;Used;8990;105;2014;Volkswagen Polo
84600;Toyota;Yaris;Electric/Gasoline;Automatic;Used;8990;143;2014;Toyota Yaris
73000;Hyundai;iX20;Gasoline;Manual;Used;8990;125;2014;Hyundai iX20
133180;Volkswagen;Golf Variant;Diesel;Manual;Used;8990;105;2014;Volkswagen Golf Variant
